Année;Mois;Jour;Heure;Minute;Seconde;Hauteur d'eau (m)
1962;03;05;00;00;00;3,60
1962;03;05;00;05;00;3,47
1962;03;05;00;10;00;3,35
1962;03;05;00;15;00;3,23
1962;03;05;00;20;00;3,10
1962;03;05;00;25;00;2,98
1962;03;05;00;30;00;2,86
1962;03;05;00;35;00;2,74
1962;03;05;00;40;00;2,64
1962;03;05;00;45;00;2,55
1962;03;05;00;50;00;2,47
1962;03;05;00;55;00;2,38
1962;03;05;01;00;00;2,32
1962;03;05;01;05;00;2,24
1962;03;05;01;10;00;2,16
1962;03;05;01;15;00;2,09
1962;03;05;01;20;00;2,02
1962;03;05;01;25;00;1,93
1962;03;05;01;30;00;1,87
1962;03;05;01;35;00;1,80
1962;03;05;01;40;00;1,72
1962;03;05;01;45;00;1,64
1962;03;05;01;50;00;1,58
1962;03;05;01;55;00;1,53
1962;03;05;02;00;00;1,49
1962;03;05;02;05;00;1,45
1962;03;05;02;10;00;1,41
1962;03;05;02;15;00;1,37
1962;03;05;02;20;00;1,33
1962;03;05;02;25;00;1,29
1962;03;05;02;30;00;1,25
1962;03;05;02;35;00;1,20
1962;03;05;02;40;00;1,16
1962;03;05;02;45;00;1,12
1962;03;05;02;50;00;1,08
1962;03;05;02;55;00;1,04
1962;03;05;03;00;00;1,00
1962;03;05;03;05;00;0,95
1962;03;05;03;10;00;0,94
1962;03;05;03;15;00;0,96
1962;03;05;03;20;00;0,98
1962;03;05;03;25;00;0,99
1962;03;05;03;30;00;1,01
1962;03;05;03;35;00;1,03
1962;03;05;03;40;00;1,04
1962;03;05;03;45;00;1,06
1962;03;05;03;50;00;1,14
1962;03;05;03;55;00;1,24
1962;03;05;04;00;00;1,31
1962;03;05;04;05;00;1,40
1962;03;05;04;10;00;1,49
1962;03;05;04;15;00;1,57
1962;03;05;04;20;00;1,66
1962;03;05;04;25;00;1,75
1962;03;05;04;30;00;1,83
1962;03;05;04;35;00;1,90
1962;03;05;04;40;00;2,00
1962;03;05;04;45;00;2,08
1962;03;05;04;50;00;2,16
1962;03;05;04;55;00;2,25
1962;03;05;05;00;00;2,34
1962;03;05;05;05;00;2,40
1962;03;05;05;10;00;2,48
1962;03;05;05;15;00;2,55
1962;03;05;05;20;00;2,62
1962;03;05;05;25;00;2,70
1962;03;05;05;30;00;2,82
1962;03;05;05;35;00;3,05
1962;03;05;05;40;00;3,26
1962;03;05;05;45;00;3,49
1962;03;05;05;50;00;3,73
1962;03;05;05;55;00;3,94
1962;03;05;06;00;00;4,15
1962;03;05;06;05;00;4,29
1962;03;05;06;10;00;4,42
1962;03;05;06;15;00;4,56
1962;03;05;06;20;00;4,70
1962;03;05;06;25;00;4,82
1962;03;05;06;30;00;4,96
1962;03;05;06;35;00;5,08
1962;03;05;06;40;00;5,20
1962;03;05;06;45;00;5,31
1962;03;05;06;50;00;5,43
1962;03;05;06;55;00;5,55
1962;03;05;07;00;00;5,65
1962;03;05;07;05;00;5,73
1962;03;05;07;10;00;5,82
1962;03;05;07;15;00;5,89
1962;03;05;07;20;00;5,98
1962;03;05;07;25;00;6,04
1962;03;05;07;30;00;6,10
1962;03;05;07;35;00;6,16
1962;03;05;07;40;00;6,21
1962;03;05;07;45;00;6,26
1962;03;05;07;50;00;6,31
1962;03;05;07;55;00;6,35
1962;03;05;08;00;00;6,40
1962;03;05;08;05;00;6,43
1962;03;05;08;10;00;6,46
1962;03;05;08;15;00;6,49
1962;03;05;08;20;00;6,52
1962;03;05;08;25;00;6,54
1962;03;05;08;30;00;6,56
1962;03;05;08;35;00;6,57
1962;03;05;08;40;00;6,58
1962;03;05;08;45;00;6,56
1962;03;05;08;50;00;6,55
1962;03;05;08;55;00;6,54
1962;03;05;09;00;00;6,53
1962;03;05;09;05;00;6,51
1962;03;05;09;10;00;6,50
1962;03;05;09;15;00;6,47
1962;03;05;09;20;00;6,44
1962;03;05;09;25;00;6,41
1962;03;05;09;30;00;6,38
1962;03;05;09;35;00;6,34
1962;03;05;09;40;00;6,28
1962;03;05;09;45;00;6,22
1962;03;05;09;50;00;6,15
1962;03;05;09;55;00;6,04
1962;03;05;10;00;00;5,95
1962;03;05;10;05;00;5,87
1962;03;05;10;10;00;5,80
1962;03;05;10;15;00;5,74
1962;03;05;10;20;00;5,68
1962;03;05;10;25;00;5,60
1962;03;05;10;30;00;5,48
1962;03;05;10;35;00;5,35
1962;03;05;10;40;00;5,22
1962;03;05;10;45;00;5,11
1962;03;05;10;50;00;5,03
1962;03;05;10;55;00;4,94
1962;03;05;11;00;00;4,85
1962;03;05;11;05;00;4,77
1962;03;05;11;10;00;4,68
1962;03;05;11;15;00;4,59
1962;03;05;11;20;00;4,51
1962;03;05;11;25;00;4,41
1962;03;05;11;30;00;4,32
1962;03;05;11;35;00;4,22
1962;03;05;11;40;00;4,12
1962;03;05;11;45;00;4,01
1962;03;05;11;50;00;3,91
1962;03;05;11;55;00;3,81
1962;03;05;12;00;00;3,70
1962;03;05;12;05;00;2,84
1962;03;05;12;10;00;2,75
1962;03;05;12;15;00;2,66
1962;03;05;12;20;00;2,57
1962;03;05;12;25;00;2,47
1962;03;05;12;30;00;2,37
1962;03;05;12;35;00;2,29
1962;03;05;12;40;00;2,20
1962;03;05;12;45;00;2,13
1962;03;05;12;50;00;2,05
1962;03;05;12;55;00;1,96
1962;03;05;13;00;00;1,87
1962;03;05;13;05;00;1,80
1962;03;05;13;10;00;1,72
1962;03;05;13;15;00;1,66
1962;03;05;13;20;00;1,60
1962;03;05;13;25;00;1,53
1962;03;05;13;30;00;1,47
1962;03;05;13;35;00;1,41
1962;03;05;13;40;00;1,35
1962;03;05;13;45;00;1,30
1962;03;05;13;50;00;1,24
1962;03;05;13;55;00;1,18
1962;03;05;14;00;00;1,16
1962;03;05;14;05;00;1,11
1962;03;05;14;10;00;1,07
1962;03;05;14;15;00;1,04
1962;03;05;14;20;00;1,01
1962;03;05;14;25;00;0,99
1962;03;05;14;30;00;0,97
1962;03;05;14;35;00;0,95
1962;03;05;14;40;00;0,94
1962;03;05;14;45;00;0,94
1962;03;05;14;50;00;0,94
1962;03;05;14;55;00;0,94
1962;03;05;15;00;00;0,94
1962;03;05;15;05;00;0,95
1962;03;05;15;10;00;0,97
1962;03;05;15;15;00;0,98
1962;03;05;15;20;00;1,03
1962;03;05;15;25;00;1,07
1962;03;05;15;30;00;1,11
1962;03;05;15;35;00;1,16
1962;03;05;15;40;00;1,20
1962;03;05;15;45;00;1,24
1962;03;05;15;50;00;1,29
1962;03;05;15;55;00;1,38
1962;03;05;16;00;00;1,47
1962;03;05;16;05;00;1,56
1962;03;05;16;10;00;1,67
1962;03;05;16;15;00;1,75
1962;03;05;16;20;00;1,84
1962;03;05;16;25;00;1,95
1962;03;05;16;30;00;2,03
1962;03;05;16;35;00;2,16
